noise,True
aug_num,200
n1,30
num_epochs,300
batch_size,16
loss,0.11922642
accuracy,0.8125
epoch,265
pred,[[27.390017]]
label,[[28.]]
traintime,283.61120699999657
average_testtime,0.0009405833333313574
