h2_0,h2_5,h3_0,h3_5,h4_0,h4_5,h5_0,h5_5,h6_0,h6_5,h7_0,h7_5,h8_0,h8_5,h9_0,h9_5,h10_0,h10_5,h11_0,h11_5,h12_0,h12_5,h13_0,h13_5,h14_0,h14_5,h15_0,h15_5,h16_0,h16_5,h17_0,h17_5,h18_0,h18_5,h19_0,h19_5,h20_0,h20_5,h21_0,h21_5,h22_0,h22_5,h23_0,h23_5,h24_0,h24_5,h25_0,h25_5,h26_0,h26_5,h27_0,h27_5,h28_0,h28_5,h29_0,h29_5,h30_0,h30_5,h31_0,h31_5,h32_0,h32_5,h33_0,h33_5,h34_0,h34_5,h35_0,h35_5,h36_0,h36_5,h37_0,h37_5,h38_0,h38_5,h39_0,h39_5,h40_0
4.985257612,4.933732515,4.880648041,4.825985677,4.769726108,4.711849183,4.652333886,4.591158296,4.528299553,4.463733816,4.397436224,4.329380846,4.259540639,4.187887394,4.114391681,4.039022797,3.961748696,3.882535933,3.80134959,3.718153199,3.632908669,3.545576198,3.456114179,3.36447911,3.270625485,3.174505682,3.076069846,2.975265759,2.872038703,2.766331306,2.658083388,2.547231784,2.433710156,2.317448795,2.198374395,2.076409823,1.951473857,1.823480905,1.692340705,1.557957987,1.420232117,1.279056694,1.134319123,0.985900136,0.83367327,0.677504293,0.517250575,0.352760382,0.18387211,0.01041342,-0.167799704,-0.350964027,-0.539290237,-0.733004272,-0.932348806,-1.137584915,-1.34899396,-1.566879714,-1.791570776,-2.023423312,-2.262824188,-2.510194559,-2.765993988,-3.030725203,-3.304939606,-3.589243678,-3.884306469,-4.190868379,-4.509751524,-4.841872027,-5.188254663,-5.550050422,-5.928557701,-6.32524802,-6.741797456,-7.180125324,-7.642442109
5.242338694,5.198582852,5.153335525,5.106581751,5.058305892,5.008491604,4.957121815,4.904178697,4.84964364,4.793497218,4.735719164,4.676288327,4.615182645,4.552379102,4.487853688,4.42158136,4.353535992,4.283690329,4.212015935,4.138483137,4.063060972,3.985717116,3.906417827,3.825127868,3.741810434,3.656427072,3.568937594,3.479299985,3.387470303,3.293402577,3.197048689,3.098358255,2.997278493,2.893754084,2.787727016,2.679136425,2.567918418,2.454005879,2.337328268,2.217811392,2.095377169,1.969943362,1.841423291,1.70972553,1.574753561,1.436405408,1.29457323,1.149142885,0.999993436,0.846996624,0.69001628,0.528907678,0.36351682,0.19367965,0.019221169,-0.16004553,-0.344320352,-0.533817411,-0.72876638,-0.929414018,-1.136025873,-1.348888214,-1.56831021,-1.7946264,-2.02819951,-2.269423663,-2.518728059,-2.776581202,-3.043495782,-3.320034324,-3.606815768,-3.904523147,-4.213912602,-4.535824018,-4.87119362,-5.221068992,-5.586627067
5.454527142,5.418103686,5.380238725,5.340920294,5.300135834,5.25787218,5.214115539,5.168851469,5.12206486,5.073739906,5.023860088,4.972408142,4.919366037,4.864714941,4.808435195,4.750506278,4.690906772,4.629614329,4.566605627,4.501856335,4.435341063,4.36703332,4.296905463,4.224928644,4.151072754,4.075306364,3.997596661,3.917909381,3.836208734,3.752457329,3.666616093,3.578644178,3.488498869,3.396135486,3.301507266,3.204565258,3.105258189,3.003532334,2.89933137,2.792596217,2.683264876,2.571272241,2.456549908,2.339025959,2.218624733,2.095266577,1.968867574,1.839339251,1.706588255,1.570516003,1.431018305,1.28798494,1.141299202,0.990837396,0.836468288,0.678052497,0.515441821,0.348478502,0.176994401,0.000810092,-0.180266153,-0.366439491,-0.557929767,-0.754972922,-0.95782258,-1.166751829,-1.382055225,-1.604051076,-1.833084016,-2.069527947,-2.313789402,-2.566311385,-2.827577804,-3.098118583,-3.378515582,-3.669409496,-3.971507915
5.625736941,5.596307578,5.565471725,5.533220014,5.499542551,5.464428899,5.427868068,5.389848498,5.350358041,5.309383944,5.266912832,5.222930688,5.177422831,5.130373895,5.081767804,5.031587751,4.979816165,4.926434689,4.871424149,4.81476452,4.756434894,4.696413448,4.634677398,4.571202969,4.505965346,4.43893863,4.37009579,4.299408614,4.226847653,4.152382163,4.075980043,3.99760777,3.917230329,3.834811138,3.750311967,3.663692853,3.574912008,3.483925725,3.390688264,3.295151748,3.19726604,3.096978607,2.99423439,2.888975645,2.781141786,2.670669205,2.557491089,2.441537212,2.322733712,2.201002854,2.076262771,1.948427177,1.81740506,1.683100351,1.545411553,1.404231343,1.259446135,1.110935598,0.958572134,0.802220293,0.641736136,0.476966536,0.307748389,0.133907757,-0.044741092,-0.228396754,-0.417271877,-0.611594494,-0.811609515,-1.017580399,-1.229791048,-1.448547936,-1.674182526,-1.907054013,-2.147552456,-2.396102354,-2.653166753
5.759208364,5.736514978,5.712437289,5.686968251,5.660100337,5.631825526,5.602135294,5.571020604,5.538471888,5.504479039,5.469031395,5.432117725,5.393726212,5.353844435,5.312459353,5.269557285,5.225123891,5.179144146,5.131602323,5.082481965,5.031765859,4.979436011,4.925473615,4.869859024,4.812571715,4.753590256,4.692892268,4.630454387,4.566252221,4.50026031,4.432452071,4.362799757,4.291274397,4.217845742,4.142482206,4.065150799,3.985817062,3.904444987,3.820996947,3.735433608,3.647713837,3.557794613,3.465630918,3.371175631,3.274379408,3.175190556,3.073554894,2.969415611,2.862713104,2.753384809,2.641365017,2.526584673,2.408971162,2.288448079,2.164934969,2.038347058,1.908594951,1.775584309,1.639215492,1.499383171,1.355975908,1.208875687,1.057957407,0.903088321,0.744127421,0.580924756,0.413320682,0.241145029,0.064216181,-0.117659955,-0.304691089,-0.497099826,-0.695125095,-0.89902375,-1.109072379,-1.325569335,-1.548837041
5.857668038,5.841519621,5.823997739,5.805097488,5.78481351,5.763139984,5.740070622,5.715598658,5.689716841,5.66241742,5.633692142,5.603532233,5.57192839,5.538870767,5.50434896,5.468351997,5.430868314,5.391885747,5.351391509,5.309372172,5.265813651,5.220701175,5.174019271,5.125751739,5.075881623,5.024391189,4.971261893,4.916474352,4.860008309,4.801842605,4.741955137,4.68032282,4.616921549,4.551726153,4.484710348,4.415846692,4.345106527,4.272459925,4.197875631,4.121320997,4.042761913,3.96216274,3.879486226,3.794693428,3.707743625,3.618594217,3.527200632,3.433516211,3.337492096,3.239077102,3.138217584,3.034857293,2.928937219,2.820395425,2.709166863,2.595183181,2.478372508,2.35865923,2.235963735,2.110202147,1.981286033,1.849122079,1.713611747,1.574650893,1.432129349,1.285930473,1.135930644,0.981998719,0.823995426,0.661772704,0.495172962,0.324028271,0.148159463,-0.032624871,-0.218529493,-0.409773765,-0.606593036
5.923393634,5.913656491,5.902546415,5.890060535,5.87619554,5.860947676,5.84431274,5.826286075,5.806862564,5.786036622,5.763802191,5.740152728,5.7150812,5.688580073,5.660641298,5.631256308,5.600415999,5.56811072,5.53433026,5.499063832,5.462300059,5.424026957,5.384231915,5.342901682,5.300022342,5.255579295,5.209557235,5.161940125,5.112711174,5.061852806,5.009346638,4.955173443,4.899313123,4.841744673,4.782446144,4.721394607,4.658566111,4.593935639,4.527477061,4.459163089,4.388965221,4.316853687,4.242797389,4.166763839,4.08871909,4.008627665,3.926452482,3.842154768,3.755693976,3.667027686,3.576111508,3.482898975,3.387341422,3.289387868,3.188984878,3.086076421,2.980603716,2.872505063,2.761715665,2.648167433,2.531788775,2.412504367,2.29023491,2.164896858,2.036402129,1.904657785,1.769565692,1.631022137,1.488917419,1.343135397,1.193552995,1.04003966,0.882456765,0.720656947,0.554483384,0.383768991,0.208335524
5.958305395,5.954896054,5.950104665,5.943930344,5.936371771,5.927427188,5.917094395,5.905370751,5.892253164,5.877738094,5.861821543,5.844499052,5.825765694,5.805616067,5.784044288,5.761043984,5.736608285,5.710729812,5.683400668,5.654612428,5.624356126,5.592622243,5.559400692,5.524680808,5.488451327,5.450700373,5.41141544,5.370583374,5.328190351,5.284221857,5.238662669,5.191496826,5.142707607,5.092277502,5.040188188,4.986420495,4.930954372,4.87376886,4.814842049,4.754151043,4.691671918,4.62737968,4.561248218,4.493250251,4.423357285,4.351539548,4.277765934,4.202003941,4.124219604,4.044377419,3.962440268,3.87836934,3.792124037,3.703661885,3.61293843,3.519907131,3.424519243,3.326723696,3.226466953,3.123692876,3.018342563,2.910354183,2.799662797,2.686200161,2.569894516,2.450670358,2.328448191,2.203144261,2.074670259,1.942933005,1.807834103,1.66926956,1.527129376,1.38129709,1.23164928,1.078055028,0.920375312
5.964014115,5.966894352,5.968374138,5.968454589,5.967136374,5.964419718,5.960304401,5.95478976,5.947874683,5.939557612,5.929836539,5.918709003,5.906172086,5.892222411,5.876856136,5.860068947,5.841856057,5.822212193,5.801131596,5.778608007,5.754634661,5.729204279,5.702309054,5.673940646,5.644090162,5.612748152,5.579904592,5.545548866,5.509669758,5.472255427,5.433293399,5.39277054,5.35067304,5.306986392,5.26169537,5.214784002,5.166235548,5.116032472,5.064156413,5.010588155,4.955307593,4.898293703,4.8395245,4.778977005,4.716627198,4.652449978,4.586419116,4.518507204,4.448685603,4.376924388,4.303192284,4.227456607,4.149683192,4.069836324,3.987878656,3.903771128,3.817472877,3.728941144,3.638131171,3.544996088,3.449486802,3.351551864,3.251137341,3.148186662,3.042640468,2.934436437,2.823509106,2.709789669,2.593205767,2.473681255,2.351135948,2.225485356,2.096640381,1.964506999,1.828985906,1.689972138,1.547354647
5.941859889,5.951032887,5.958777859,5.96509798,5.969995962,5.973474052,5.97553404,5.976177256,5.975404574,5.973216413,5.969612738,5.964593056,5.958156419,5.950301423,5.941026201,5.930328425,5.918205301,5.904653565,5.88966948,5.873248828,5.855386908,5.836078525,5.815317986,5.793099093,5.76941513,5.74425886,5.717622508,5.689497756,5.659875726,5.628746972,5.596101464,5.561928574,5.52621706,5.48895505,5.450130024,5.409728795,5.36773749,5.324141527,5.278925593,5.23207362,5.18356876,5.133393356,5.081528914,5.027956073,4.97265457,4.915603206,4.856779812,4.796161204,4.733723147,4.669440304,4.603286196,4.535233146,4.465252227,4.393313205,4.319384478,4.24343301,4.165424264,4.085322124,4.003088819,3.918684838,3.832068836,3.743197542,3.65202565,3.558505712,3.462588014,3.364220451,3.263348386,3.159914502,3.053858644,2.94511764,2.833625121,2.719311316,2.602102831,2.481922418,2.358688715,2.232315969,2.102713732
